Reporting org id,Reporting org name
41aaa,United Nations Office for Project Services
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
xm-dac-41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East
us-gov-1,United States Agency for International Development (USAID)
nl-kvk-41215393,War Child Holland
gb-chc-1071659,War Child UK
gb-chc-1160263,WasteAid UK
gb-chc-1125217,Welbodi Partnership
ng-cac-495140,Women Environmental Programme
lk-drc-ga139,Women's Fund Asia
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
gb-chc-290767,World Jewish Relief
xi-iati-wvdrc,World Vision DRC
de-cr-ra000209-vr1207,World Vision Germany
us-ein-95-3202116,World Vision International
nl-kvk-41179943,World Vision Netherlands
gb-chc-285908,World Vision United Kingdom
nl-kvk-34271281,World Waternet
gb-coh-06735120,Worldwide Hospice and Palliative Care Alliance
nl-kvk-41009723,ZOA
gb-chc-208728,Zoological Society of London
gb-chc-265464,tearfund
