Reporting org,Reporting org type,Provider org,Receiver org,Humanitarian?,Strict?,Transaction type,Transaction direction,Total money
#org+name+reporting,#org+reporting+type,#org+name+provider,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#x_transaction_direction,#value+total
OCHA Country Based Pooled Funds,22,,Almanar Voluntary Organization,1,0,spending,outgoing,894171
OCHA Country Based Pooled Funds,22,,Alshroog Organization for Social and Culture Development,1,0,commitments,outgoing,319848
OCHA Country Based Pooled Funds,22,,Alshroog Organization for Social and Culture Development,1,0,spending,outgoing,223893
OCHA Country Based Pooled Funds,22,,Altamayoz Project for Orphan Sponsorship / Social Care Association,1,0,commitments,outgoing,1400293
OCHA Country Based Pooled Funds,22,,Altamayoz Project for Orphan Sponsorship / Social Care Association,1,0,spending,outgoing,1004175
OCHA Country Based Pooled Funds,22,,Arab Renaissance for Democracy and Development,1,0,commitments,outgoing,699097
OCHA Country Based Pooled Funds,22,,Arab Renaissance for Democracy and Development,1,0,spending,outgoing,639278
OCHA Country Based Pooled Funds,22,,Association LRC,1,1,commitments,outgoing,260481
OCHA Country Based Pooled Funds,22,,Association LRC,1,1,spending,outgoing,156288
OCHA Country Based Pooled Funds,22,,Association Locale pour le Développement Intégral,1,0,commitments,outgoing,229439
OCHA Country Based Pooled Funds,22,,Association Locale pour le Développement Intégral,1,0,spending,outgoing,229439
OCHA Country Based Pooled Funds,22,,Association des Femmes pour la Promotion de l'Entreprenariat,1,0,commitments,outgoing,386864
OCHA Country Based Pooled Funds,22,,Association des Femmes pour la Promotion de l'Entreprenariat,1,0,spending,outgoing,386864
OCHA Country Based Pooled Funds,22,,Association for Water Applied Education Renewable Energy,1,0,commitments,outgoing,247980
OCHA Country Based Pooled Funds,22,,Association for Water Applied Education Renewable Energy,1,0,spending,outgoing,247980
OCHA Country Based Pooled Funds,22,,Association pour le Developpement Social et la Sauvegarde de l'Environnement,1,0,commitments,outgoing,800000
OCHA Country Based Pooled Funds,22,,Association pour le Developpement Social et la Sauvegarde de l'Environnement,1,0,spending,outgoing,800000
OCHA Country Based Pooled Funds,22,,Association pour le Developpement Social et la Sauvegarde de l'Environnement,1,1,commitments,outgoing,452400
OCHA Country Based Pooled Funds,22,,Association pour le Developpement Social et la Sauvegarde de l'Environnement,1,1,spending,outgoing,361920
OCHA Country Based Pooled Funds,22,,Associazione Volontari per il Servizio Internationale,1,0,commitments,outgoing,1218909
OCHA Country Based Pooled Funds,22,,Associazione Volontari per il Servizio Internationale,1,0,spending,outgoing,731345
OCHA Country Based Pooled Funds,22,,Associazione Volontari per il Servizio Internazionale,1,1,commitments,outgoing,261098
OCHA Country Based Pooled Funds,22,,Associazione Volontari per il Servizio Internazionale,1,1,spending,outgoing,261098
OCHA Country Based Pooled Funds,22,,Azat Foundation,1,1,commitments,outgoing,484989
OCHA Country Based Pooled Funds,22,,Azat Foundation,1,1,spending,outgoing,484989
OCHA Country Based Pooled Funds,22,,Balochistan Rural Support Programme,1,1,commitments,outgoing,980746
OCHA Country Based Pooled Funds,22,,Balochistan Rural Support Programme,1,1,spending,outgoing,784597
OCHA Country Based Pooled Funds,22,,Blumont,1,1,commitments,outgoing,430183
OCHA Country Based Pooled Funds,22,,Blumont,1,1,spending,outgoing,258110
OCHA Country Based Pooled Funds,22,,Business and Professional Women Voluntary Organization,1,0,commitments,outgoing,359052
OCHA Country Based Pooled Funds,22,,Business and Professional Women Voluntary Organization,1,0,spending,outgoing,359052
OCHA Country Based Pooled Funds,22,,CARE International Switzerland in Sudan,1,0,commitments,outgoing,850000
OCHA Country Based Pooled Funds,22,,CARE International Switzerland in Sudan,1,0,spending,outgoing,610000
OCHA Country Based Pooled Funds,22,,CARE International Switzerland in Sudan,1,1,commitments,outgoing,500000
OCHA Country Based Pooled Funds,22,,CARE International Switzerland in Sudan,1,1,spending,outgoing,400000
OCHA Country Based Pooled Funds,22,,CARE International Yemen,1,0,commitments,outgoing,3812120
OCHA Country Based Pooled Funds,22,,CARE International Yemen,1,0,spending,outgoing,2447027
OCHA Country Based Pooled Funds,22,,CARE International in Pakistan,1,1,commitments,outgoing,500000
OCHA Country Based Pooled Funds,22,,CARE International in Pakistan,1,1,spending,outgoing,400000
OCHA Country Based Pooled Funds,22,,CARE International,1,0,commitments,outgoing,3327744
OCHA Country Based Pooled Funds,22,,CARE International,1,0,spending,outgoing,2219299
OCHA Country Based Pooled Funds,22,,CARE International,1,1,commitments,outgoing,775000
OCHA Country Based Pooled Funds,22,,CARE International,1,1,spending,outgoing,775000
OCHA Country Based Pooled Funds,22,,CARITAS LIBAN CENTRE DES MIGRANTS,1,1,commitments,outgoing,2697043
OCHA Country Based Pooled Funds,22,,CARITAS LIBAN CENTRE DES MIGRANTS,1,1,spending,outgoing,2188403
OCHA Country Based Pooled Funds,22,,CESVI,1,1,commitments,outgoing,75001
OCHA Country Based Pooled Funds,22,,CESVI,1,1,spending,outgoing,75001
OCHA Country Based Pooled Funds,22,,CHILD PROTECTION PEER LEARNING INITIATIVE,1,0,commitments,outgoing,99996
OCHA Country Based Pooled Funds,22,,CHILD PROTECTION PEER LEARNING INITIATIVE,1,0,spending,outgoing,79996
OCHA Country Based Pooled Funds,22,,COOPI Cooperazione Internazionale,1,1,commitments,outgoing,382000
OCHA Country Based Pooled Funds,22,,COOPI Cooperazione Internazionale,1,1,spending,outgoing,382000
OCHA Country Based Pooled Funds,22,,CORDAID,1,0,commitments,outgoing,635813
OCHA Country Based Pooled Funds,22,,CORDAID,1,0,spending,outgoing,508650
OCHA Country Based Pooled Funds,22,,CORDAID,1,1,commitments,outgoing,299996
OCHA Country Based Pooled Funds,22,,CORDAID,1,1,spending,outgoing,299996
OCHA Country Based Pooled Funds,22,,Care Ethiopia,1,0,commitments,outgoing,2379438
OCHA Country Based Pooled Funds,22,,Care Ethiopia,1,0,spending,outgoing,1986160
OCHA Country Based Pooled Funds,22,,Care Ethiopia,1,1,commitments,outgoing,1198764
OCHA Country Based Pooled Funds,22,,Care Ethiopia,1,1,spending,outgoing,1088761
OCHA Country Based Pooled Funds,22,,Care for Children and Old Age in South Sudan,1,0,commitments,outgoing,300000
OCHA Country Based Pooled Funds,22,,Care for Children and Old Age in South Sudan,1,0,spending,outgoing,300000
OCHA Country Based Pooled Funds,22,,Care for Children and Old Age in South Sudan,1,1,commitments,outgoing,300000
OCHA Country Based Pooled Funds,22,,Care for Children and Old Age in South Sudan,1,1,spending,outgoing,300000
OCHA Country Based Pooled Funds,22,,Caritas Développement Diocèse d'Uvira,1,0,commitments,outgoing,1002560
OCHA Country Based Pooled Funds,22,,Caritas Développement Diocèse d'Uvira,1,0,spending,outgoing,601536
OCHA Country Based Pooled Funds,22,,Caritas Développement Goma,1,0,commitments,outgoing,1086992
OCHA Country Based Pooled Funds,22,,Caritas Développement Goma,1,0,spending,outgoing,1086992
OCHA Country Based Pooled Funds,22,,Caritas Germany,1,0,commitments,outgoing,499272
OCHA Country Based Pooled Funds,22,,Caritas Germany,1,0,spending,outgoing,499272
OCHA Country Based Pooled Funds,22,,Caritas Kasongo,1,0,commitments,outgoing,1162045
OCHA Country Based Pooled Funds,22,,Caritas Kasongo,1,0,spending,outgoing,697227
OCHA Country Based Pooled Funds,22,,Caritas Switzerland,1,1,commitments,outgoing,349876
OCHA Country Based Pooled Funds,22,,Caritas Switzerland,1,1,spending,outgoing,349876
OCHA Country Based Pooled Funds,22,,Catholic Agency for Overseas Development (CAFOD),1,0,commitments,outgoing,998868
OCHA Country Based Pooled Funds,22,,Catholic Agency for Overseas Development (CAFOD),1,0,spending,outgoing,599321
OCHA Country Based Pooled Funds,22,,Catholic Organisation for Relief and Development Aid,1,0,commitments,outgoing,750000
OCHA Country Based Pooled Funds,22,,Catholic Organisation for Relief and Development Aid,1,0,spending,outgoing,300000
OCHA Country Based Pooled Funds,22,,Catholic Relief Services,1,0,commitments,outgoing,559848
OCHA Country Based Pooled Funds,22,,Catholic Relief Services,1,0,spending,outgoing,559848
OCHA Country Based Pooled Funds,22,,Catholic Relief Services,1,1,commitments,outgoing,1650620
OCHA Country Based Pooled Funds,22,,Catholic Relief Services,1,1,spending,outgoing,1320497
OCHA Country Based Pooled Funds,22,,Center for Peace and Democracy,1,0,commitments,outgoing,600000
OCHA Country Based Pooled Funds,22,,Center for Peace and Democracy,1,0,spending,outgoing,560000
OCHA Country Based Pooled Funds,22,,Centre de Support en Santé Internationale,1,1,commitments,outgoing,500000
OCHA Country Based Pooled Funds,22,,Centre de Support en Santé Internationale,1,1,spending,outgoing,300000
OCHA Country Based Pooled Funds,22,,Centre for Social Integrity,1,0,commitments,outgoing,306115
OCHA Country Based Pooled Funds,22,,Centre for Social Integrity,1,0,spending,outgoing,183669
OCHA Country Based Pooled Funds,22,,Centre for Social Integrity,1,1,commitments,outgoing,183769
OCHA Country Based Pooled Funds,22,,Centre for Social Integrity,1,1,spending,outgoing,183769
OCHA Country Based Pooled Funds,22,,Cesvi,1,1,commitments,outgoing,800000
OCHA Country Based Pooled Funds,22,,Cesvi,1,1,spending,outgoing,800000
OCHA Country Based Pooled Funds,22,,Charity Foundation “NEW WAY”,1,0,commitments,outgoing,176511
OCHA Country Based Pooled Funds,22,,Charity Foundation “NEW WAY”,1,0,spending,outgoing,176511
OCHA Country Based Pooled Funds,22,,Charity Mission Corps,1,0,commitments,outgoing,345359
OCHA Country Based Pooled Funds,22,,Charity Mission Corps,1,0,spending,outgoing,345359
OCHA Country Based Pooled Funds,22,,Child Care Society,1,1,commitments,outgoing,259779
OCHA Country Based Pooled Funds,22,,Child Care Society,1,1,spending,outgoing,259780
OCHA Country Based Pooled Funds,22,,Children in Crisis,1,0,commitments,outgoing,250068
OCHA Country Based Pooled Funds,22,,Children in Crisis,1,0,spending,outgoing,200055
OCHA Country Based Pooled Funds,22,,Children in Crisis,1,1,commitments,outgoing,447599
OCHA Country Based Pooled Funds,22,,Children in Crisis,1,1,spending,outgoing,446362
OCHA Country Based Pooled Funds,22,,Christian Aid,1,0,commitments,outgoing,2029279
OCHA Country Based Pooled Funds,22,,Christian Aid,1,0,spending,outgoing,1515127
OCHA Country Based Pooled Funds,22,,Christian Mission Aid,1,0,commitments,outgoing,299999
OCHA Country Based Pooled Funds,22,,Christian Mission Aid,1,0,spending,outgoing,240000
OCHA Country Based Pooled Funds,22,,Christian Mission for Development,1,0,commitments,outgoing,300001
OCHA Country Based Pooled Funds,22,,Christian Mission for Development,1,0,spending,outgoing,300000
OCHA Country Based Pooled Funds,22,,Civil Society for Poverty Eradication,1,0,commitments,outgoing,139652
OCHA Country Based Pooled Funds,22,,Civil Society for Poverty Eradication,1,0,spending,outgoing,111722
OCHA Country Based Pooled Funds,22,,Collectif Alpha Ujuvi,1,1,commitments,outgoing,1026388
OCHA Country Based Pooled Funds,22,,Collectif Alpha Ujuvi,1,1,spending,outgoing,1026388
OCHA Country Based Pooled Funds,22,,Comitato Internationale per lo Sviluppo dei Popoli,1,0,commitments,outgoing,400085
OCHA Country Based Pooled Funds,22,,Comitato Internationale per lo Sviluppo dei Popoli,1,0,spending,outgoing,240051
OCHA Country Based Pooled Funds,22,,Comitato Internazionale per lo Sviluppo dei Popoli,1,0,commitments,outgoing,1499995
OCHA Country Based Pooled Funds,22,,Comitato Internazionale per lo Sviluppo dei Popoli,1,0,spending,outgoing,899997
OCHA Country Based Pooled Funds,22,,Community Action for Healing Poverty Organization,1,0,commitments,outgoing,249762
OCHA Country Based Pooled Funds,22,,Community Action for Healing Poverty Organization,1,0,spending,outgoing,249762
OCHA Country Based Pooled Funds,22,,Community Empowerment and Social Development Organization,1,0,commitments,outgoing,250000
OCHA Country Based Pooled Funds,22,,Community Humanitarian Emergency Board,1,1,commitments,outgoing,503501
OCHA Country Based Pooled Funds,22,,Community Humanitarian Emergency Board,1,1,spending,outgoing,503500
OCHA Country Based Pooled Funds,22,,Community Initiative for Development Organization,1,0,commitments,outgoing,2200000
OCHA Country Based Pooled Funds,22,,Community Initiative for Development Organization,1,0,spending,outgoing,2080000
OCHA Country Based Pooled Funds,22,,Community Initiative for Sustainable Development Agency,1,0,commitments,outgoing,178988
OCHA Country Based Pooled Funds,22,,Community Initiative for Sustainable Development Agency,1,0,spending,outgoing,178988
OCHA Country Based Pooled Funds,22,,Community Partners International,1,0,commitments,outgoing,472277
OCHA Country Based Pooled Funds,22,,Community Partners International,1,0,spending,outgoing,322737
OCHA Country Based Pooled Funds,22,,Community Partners International,1,1,commitments,outgoing,294750
OCHA Country Based Pooled Funds,22,,Community Partners International,1,1,spending,outgoing,235800
OCHA Country Based Pooled Funds,22,,Community in Need Aid,1,0,commitments,outgoing,500000
OCHA Country Based Pooled Funds,22,,Community in Need Aid,1,0,spending,outgoing,500000
OCHA Country Based Pooled Funds,22,,Comprehensive Health and Education Forum International,1,1,commitments,outgoing,504095
OCHA Country Based Pooled Funds,22,,Comprehensive Health and Education Forum International,1,1,spending,outgoing,504095
OCHA Country Based Pooled Funds,22,,Concern Worldwide,1,0,commitments,outgoing,2850179
OCHA Country Based Pooled Funds,22,,Concern Worldwide,1,0,spending,outgoing,2037077
OCHA Country Based Pooled Funds,22,,Concern Worldwide,1,1,commitments,outgoing,400006
OCHA Country Based Pooled Funds,22,,Concern Worldwide,1,1,spending,outgoing,320005
OCHA Country Based Pooled Funds,22,,Cooperative de Production Agricole et Artisanale pour le Developpement du Monde Rural,1,0,commitments,outgoing,200000
OCHA Country Based Pooled Funds,22,,Cooperative de Production Agricole et Artisanale pour le Developpement du Monde Rural,1,0,spending,outgoing,200000
OCHA Country Based Pooled Funds,22,,Cooperative de Production Agricole et Artisanale pour le Developpement du Monde Rural,1,1,commitments,outgoing,200000
OCHA Country Based Pooled Funds,22,,Cooperative de Production Agricole et Artisanale pour le Developpement du Monde Rural,1,1,spending,outgoing,200000
OCHA Country Based Pooled Funds,22,,Cooperazione E Sviluppo - CESVI,1,0,commitments,outgoing,350622
OCHA Country Based Pooled Funds,22,,Cooperazione Internazionale - COOPI,1,0,commitments,outgoing,9088536
OCHA Country Based Pooled Funds,22,,Cooperazione Internazionale - COOPI,1,0,spending,outgoing,5728648
OCHA Country Based Pooled Funds,22,,Cooperazione Internazionale - COOPI,1,1,commitments,outgoing,393661
OCHA Country Based Pooled Funds,22,,Cooperazione Internazionale - COOPI,1,1,spending,outgoing,393660
OCHA Country Based Pooled Funds,22,,Coordination of Rehabilitation and Development Services for Afghanistan,1,0,commitments,outgoing,720000
OCHA Country Based Pooled Funds,22,,Coordination of Rehabilitation and Development Services for Afghanistan,1,0,spending,outgoing,630000
OCHA Country Based Pooled Funds,22,,Croix Rouge RDC /Tanganyika,1,0,commitments,outgoing,1100000
OCHA Country Based Pooled Funds,22,,Croix Rouge RDC /Tanganyika,1,0,spending,outgoing,1020000
OCHA Country Based Pooled Funds,22,,DanChurchAid,1,0,commitments,outgoing,205787
OCHA Country Based Pooled Funds,22,,DanChurchAid,1,0,spending,outgoing,203176
OCHA Country Based Pooled Funds,22,,DanChurchAid,1,1,commitments,outgoing,583553
OCHA Country Based Pooled Funds,22,,DanChurchAid,1,1,spending,outgoing,548838
OCHA Country Based Pooled Funds,22,,Danish Committee for Aid to Afghan Refugees,1,0,commitments,outgoing,502985
OCHA Country Based Pooled Funds,22,,Danish Committee for Aid to Afghan Refugees,1,0,spending,outgoing,402388
OCHA Country Based Pooled Funds,22,,Danish Committee for Aid to Afghan Refugees,1,1,commitments,outgoing,1500000
OCHA Country Based Pooled Funds,22,,Danish Committee for Aid to Afghan Refugees,1,1,spending,outgoing,1446045
OCHA Country Based Pooled Funds,22,,Danish Refugee Council,1,0,commitments,outgoing,3605434
OCHA Country Based Pooled Funds,22,,Danish Refugee Council,1,0,spending,outgoing,2492002
OCHA Country Based Pooled Funds,22,,Danish Refugee Council,1,1,commitments,outgoing,1257700
OCHA Country Based Pooled Funds,22,,Danish Refugee Council,1,1,spending,outgoing,1237597
OCHA Country Based Pooled Funds,22,,Dary Human Organization,1,0,commitments,outgoing,135023
OCHA Country Based Pooled Funds,22,,Dary Human Organization,1,0,spending,outgoing,135023
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe e. V.,1,0,commitments,outgoing,285000
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe e. V.,1,0,spending,outgoing,285000
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe e.V. (German Agro Action),1,0,commitments,outgoing,1139917
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe e.V. (German Agro Action),1,0,spending,outgoing,999933
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe,1,0,commitments,outgoing,1042950
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe,1,0,spending,outgoing,625769
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe,1,1,commitments,outgoing,782007
OCHA Country Based Pooled Funds,22,,Deutsche Welthungerhilfe,1,1,spending,outgoing,625606
OCHA Country Based Pooled Funds,22,,Development for People and Nature Association,1,0,commitments,outgoing,456406
OCHA Country Based Pooled Funds,22,,Development for People and Nature Association,1,0,spending,outgoing,456406
OCHA Country Based Pooled Funds,22,,Donbass Development Center,1,1,commitments,outgoing,665606
OCHA Country Based Pooled Funds,22,,Donbass Development Center,1,1,spending,outgoing,567816
OCHA Country Based Pooled Funds,22,,Dorcas Aid International,1,0,commitments,outgoing,897613
OCHA Country Based Pooled Funds,22,,Dorcas Aid International,1,0,spending,outgoing,270000
OCHA Country Based Pooled Funds,22,,EMERGENCY - Life Support for Civilian War Victims ONG ONLUS,1,1,commitments,outgoing,246741
OCHA Country Based Pooled Funds,22,,EMERGENCY - Life Support for Civilian War Victims ONG ONLUS,1,1,spending,outgoing,246740
OCHA Country Based Pooled Funds,22,,Education Health Social Awareness and Rehabilitation,1,1,commitments,outgoing,501062
OCHA Country Based Pooled Funds,22,,Education Health Social Awareness and Rehabilitation,1,1,spending,outgoing,501062
OCHA Country Based Pooled Funds,22,,Emergency Development Network,1,1,commitments,outgoing,350000
OCHA Country Based Pooled Funds,22,,Emergency Development Network,1,1,spending,outgoing,350000
OCHA Country Based Pooled Funds,22,,FIRST STEP ACTION FOR CHILDREN INITIATIVE,1,0,commitments,outgoing,299992
OCHA Country Based Pooled Funds,22,,FIRST STEP ACTION FOR CHILDREN INITIATIVE,1,0,spending,outgoing,209995
OCHA Country Based Pooled Funds,22,,Fayyaa Integrated Development Organization,1,0,commitments,outgoing,180000
OCHA Country Based Pooled Funds,22,,Fayyaa Integrated Development Organization,1,0,spending,outgoing,108000
OCHA Country Based Pooled Funds,22,,Fayyaa Integrated Development Organization,1,1,commitments,outgoing,100000
OCHA Country Based Pooled Funds,22,,Fayyaa Integrated Development Organization,1,1,spending,outgoing,100000
OCHA Country Based Pooled Funds,22,,Federation of Handicap International,1,0,commitments,outgoing,372443
OCHA Country Based Pooled Funds,22,,Federation of Handicap International,1,0,spending,outgoing,372443
OCHA Country Based Pooled Funds,22,,Field Medical Foundation,1,0,commitments,outgoing,725987
OCHA Country Based Pooled Funds,22,,Field Medical Foundation,1,0,spending,outgoing,217796
OCHA Country Based Pooled Funds,22,,Finn Church Aid (Myanmar),1,0,commitments,outgoing,531546
OCHA Country Based Pooled Funds,22,,Finn Church Aid (Myanmar),1,0,spending,outgoing,425237
OCHA Country Based Pooled Funds,22,,Finn Church Aid,1,0,commitments,outgoing,681126
OCHA Country Based Pooled Funds,22,,Finn Church Aid,1,0,spending,outgoing,408675
OCHA Country Based Pooled Funds,22,,Fondation Humanitaire Internationale AICM Ukraine,1,1,commitments,outgoing,201196
OCHA Country Based Pooled Funds,22,,Fondation Humanitaire Internationale AICM Ukraine,1,1,spending,outgoing,201196
OCHA Country Based Pooled Funds,22,,Fondazione Terres des Hommes Italia,1,0,commitments,outgoing,1679926
OCHA Country Based Pooled Funds,22,,Fondazione Terres des Hommes Italia,1,0,spending,outgoing,1227852
OCHA Country Based Pooled Funds,22,,Fondazione Terres des Hommes Italia,1,1,commitments,outgoing,315910
OCHA Country Based Pooled Funds,22,,Fondazione Terres des Hommes Italia,1,1,spending,outgoing,315910
OCHA Country Based Pooled Funds,22,,Fondazione We World - GVC Onlus,1,0,commitments,outgoing,1170426
OCHA Country Based Pooled Funds,22,,Fondazione We World - GVC Onlus,1,0,spending,outgoing,1020446
OCHA Country Based Pooled Funds,22,,Food and Agriculture Organization of the United Nations,1,0,commitments,outgoing,2649672
OCHA Country Based Pooled Funds,22,,Food and Agriculture Organization of the United Nations,1,0,spending,outgoing,2649672
OCHA Country Based Pooled Funds,22,,Food and Agriculture Organization of the United Nations,1,1,commitments,outgoing,2769334
OCHA Country Based Pooled Funds,22,,Food and Agriculture Organization of the United Nations,1,1,spending,outgoing,2769334
OCHA Country Based Pooled Funds,22,,Forum of Handicapped Association,1,0,commitments,outgoing,296282
OCHA Country Based Pooled Funds,22,,Forum of Handicapped Association,1,0,spending,outgoing,296282
OCHA Country Based Pooled Funds,22,,Friends of Peace and Development Organization,1,0,commitments,outgoing,444505
OCHA Country Based Pooled Funds,22,,Friends of Peace and Development Organization,1,0,spending,outgoing,444505
OCHA Country Based Pooled Funds,22,,Fundacion Accion Contra El Hambre (Action Against Hunger ),1,0,commitments,outgoing,308259
OCHA Country Based Pooled Funds,22,,Fundacion Accion Contra El Hambre (Action Against Hunger ),1,0,spending,outgoing,184955
OCHA Country Based Pooled Funds,22,,Fundacion Accion Contra El Hambre (Action Against Hunger ),1,1,commitments,outgoing,706469
OCHA Country Based Pooled Funds,22,,Fundacion Accion Contra El Hambre (Action Against Hunger ),1,1,spending,outgoing,641308
OCHA Country Based Pooled Funds,22,,Fundación Vivienda Popular,1,0,commitments,outgoing,442149
OCHA Country Based Pooled Funds,22,,Future Pioneers for Empowering Communities Members in the Environmental and Educational Fields,1,1,commitments,outgoing,250366
OCHA Country Based Pooled Funds,22,,Future Pioneers for Empowering Communities Members in the Environmental and Educational Fields,1,1,spending,outgoing,250366
OCHA Country Based Pooled Funds,22,,GOAL,1,0,commitments,outgoing,660922
OCHA Country Based Pooled Funds,22,,GOAL,1,0,spending,outgoing,568545
OCHA Country Based Pooled Funds,22,,GOAL,1,1,commitments,outgoing,739967
OCHA Country Based Pooled Funds,22,,GOAL,1,1,spending,outgoing,639967
OCHA Country Based Pooled Funds,22,,General Service Agency,1,0,commitments,outgoing,490220
OCHA Country Based Pooled Funds,22,,General Service Agency,1,0,spending,outgoing,196088
OCHA Country Based Pooled Funds,22,,Generations Without Qat,1,0,commitments,outgoing,286546
OCHA Country Based Pooled Funds,22,,Generations Without Qat,1,0,spending,outgoing,114618
OCHA Country Based Pooled Funds,22,,Genre Paix et Développement,1,0,commitments,outgoing,715942
OCHA Country Based Pooled Funds,22,,Genre Paix et Développement,1,0,spending,outgoing,659018
OCHA Country Based Pooled Funds,22,,Global Aid Hand,1,0,commitments,outgoing,699917
OCHA Country Based Pooled Funds,22,,Global Aid Hand,1,0,spending,outgoing,419950
OCHA Country Based Pooled Funds,22,,Global Aid Hand,1,1,commitments,outgoing,500000
OCHA Country Based Pooled Funds,22,,Global Aid Hand,1,1,spending,outgoing,400000
OCHA Country Based Pooled Funds,22,,Global Family,1,0,commitments,outgoing,197270
OCHA Country Based Pooled Funds,22,,Global Family,1,0,spending,outgoing,157816
OCHA Country Based Pooled Funds,22,,Goalprime Organization Nigeria,1,0,commitments,outgoing,244011
OCHA Country Based Pooled Funds,22,,Goalprime Organization Nigeria,1,0,spending,outgoing,195208
OCHA Country Based Pooled Funds,22,,Golweyne Relief and Rehabilitation NGO,1,0,commitments,outgoing,350000
OCHA Country Based Pooled Funds,22,,Green Concern For Development,1,0,commitments,outgoing,507017
OCHA Country Based Pooled Funds,22,,Green Concern For Development,1,0,spending,outgoing,322810
OCHA Country Based Pooled Funds,22,,Groupe La Colombe,1,0,commitments,outgoing,493808
OCHA Country Based Pooled Funds,22,,Groupe La Colombe,1,0,spending,outgoing,296285
OCHA Country Based Pooled Funds,22,,Handicap International,1,1,commitments,outgoing,259000
OCHA Country Based Pooled Funds,22,,Handicap International,1,1,spending,outgoing,259000
OCHA Country Based Pooled Funds,22,,Health Poverty Action,1,1,commitments,outgoing,295285
OCHA Country Based Pooled Funds,22,,Health Poverty Action,1,1,spending,outgoing,295285
OCHA Country Based Pooled Funds,22,,Health and Nutrition Development Society,1,0,commitments,outgoing,493916
OCHA Country Based Pooled Funds,22,,Health and Nutrition Development Society,1,0,spending,outgoing,477497
OCHA Country Based Pooled Funds,22,,Healthnet International and Transcultural Psychosocial Organization,1,1,commitments,outgoing,1009650
OCHA Country Based Pooled Funds,22,,Healthnet International and Transcultural Psychosocial Organization,1,1,spending,outgoing,683752
OCHA Country Based Pooled Funds,22,,Health,1,0,commitments,outgoing,300000
OCHA Country Based Pooled Funds,22,,Health,1,0,spending,outgoing,180000
OCHA Country Based Pooled Funds,22,,Health,1,1,commitments,outgoing,698886
OCHA Country Based Pooled Funds,22,,Health,1,1,spending,outgoing,698886
OCHA Country Based Pooled Funds,22,,HelpAge International UK,1,0,commitments,outgoing,138709
OCHA Country Based Pooled Funds,22,,HelpAge International UK,1,0,spending,outgoing,138710
OCHA Country Based Pooled Funds,22,,HelpAge International UK,1,1,commitments,outgoing,489742
OCHA Country Based Pooled Funds,22,,HelpAge International UK,1,1,spending,outgoing,394896
OCHA Country Based Pooled Funds,22,,Himilo Organization for Development,1,0,commitments,outgoing,300000
OCHA Country Based Pooled Funds,22,,Himilo Relief and Development Association,1,0,commitments,outgoing,348428
OCHA Country Based Pooled Funds,22,,Hold the Child,1,0,commitments,outgoing,400000
OCHA Country Based Pooled Funds,22,,Hold the Child,1,0,spending,outgoing,240000
OCHA Country Based Pooled Funds,22,,Horn of Africa Peace Network,1,0,commitments,outgoing,2269604
OCHA Country Based Pooled Funds,22,,Horn of Africa Peace Network,1,0,spending,outgoing,1299743
OCHA Country Based Pooled Funds,22,,Human Access for Partnership and Development,1,0,commitments,outgoing,375035
OCHA Country Based Pooled Funds,22,,Human Access for Partnership and Development,1,0,spending,outgoing,150014
OCHA Country Based Pooled Funds,22,,Human Appeal,1,0,commitments,outgoing,362951
OCHA Country Based Pooled Funds,22,,Human Appeal,1,0,spending,outgoing,290361
OCHA Country Based Pooled Funds,22,,Human Development Concern,1,0,commitments,outgoing,200000
OCHA Country Based Pooled Funds,22,,ICF Caritas Ukraine,1,1,commitments,outgoing,449741
OCHA Country Based Pooled Funds,22,,ICF Caritas Ukraine,1,1,spending,outgoing,449741
OCHA Country Based Pooled Funds,22,,INTERSOS,1,0,commitments,outgoing,9861359
OCHA Country Based Pooled Funds,22,,INTERSOS,1,0,spending,outgoing,7963153
OCHA Country Based Pooled Funds,22,,INTERSOS,1,1,commitments,outgoing,908903
OCHA Country Based Pooled Funds,22,,INTERSOS,1,1,spending,outgoing,604903
OCHA Country Based Pooled Funds,22,,Iimaan Relief and Development Organization,1,0,commitments,outgoing,249972
OCHA Country Based Pooled Funds,22,,Impact Health Organization,1,0,commitments,outgoing,300000
OCHA Country Based Pooled Funds,22,,Impact Health Organization,1,0,spending,outgoing,180000
OCHA Country Based Pooled Funds,22,,Initiative Africaine pour le Développement,1,0,commitments,outgoing,350000
OCHA Country Based Pooled Funds,22,,Initiative Africaine pour le Développement,1,0,spending,outgoing,350000
OCHA Country Based Pooled Funds,22,,International Aid Services,1,1,commitments,outgoing,679007
OCHA Country Based Pooled Funds,22,,International Aid Services,1,1,spending,outgoing,407404
OCHA Country Based Pooled Funds,22,,International Catholic Migration Commission,1,1,commitments,outgoing,626220
OCHA Country Based Pooled Funds,22,,International Catholic Migration Commission,1,1,spending,outgoing,626220
